date,symbol,exchange,deal_type,side,client,qty,price
2026-05-27,ACSTECH,NSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,413216,34.72
2026-05-27,ECOLINE,NSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,112000,148.21
2026-05-27,VPAL,BSE,bulk,BUY,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,400000,118.1
2026-05-29,ADISOFT,NSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,139200,208.84
2026-05-29,BMLL,NSE,bulk,BUY,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,100000,105.65
2026-05-29,QLINE,NSE,bulk,BUY,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,136400,448.47
2026-05-29,TIPCO,BSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,464000,172.06
2026-05-29,VIVIDEL,NSE,bulk,SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,62880,965.0
2026-06-01,HIGHNESS,BSE,bulk,SELL,VENKATA NAGARAJU PADALA,27600,136.74
2026-06-11,EBGNG,NSE,block,BUY,MOTILAL OSWAL EQUITY OPPORTUNITIES FUND SERIES II,641027,390
2026-06-11,EBGNG,NSE,block,BUY,MIRAE ASSET MUTUAL FUND,641032,390
2026-06-11,EBGNG,NSE,block,BUY,ITI MUTUAL FUND,641029,390
2026-06-11,EBGNG,NSE,block,BUY,MCP EMERGING MARKETS FUND LP,145662,390
2026-06-11,EBGNG,NSE,block,BUY,GOLDMAN SACHS FUNDS-GOLDMAN SACHS ASIA EQUITY PORTFOLIO,641031,390
2026-06-11,EBGNG,NSE,block,BUY,EDELWEISS MUTUAL FUND,641028,390
2026-06-11,EBGNG,NSE,block,BUY,MOBIUS INVESTMENT TRUST PLC,495364,390
2026-06-11,EBGNG,NSE,block,BUY,TRUST MUTUAL FUND,641030,390
2026-06-11,EBGNG,NSE,block,SELL,VIDHI S KHANDELWAL,4487203,390
2026-06-11,LENSKART,NSE,block,BUY,NATIONAL PENSION SYSTEM (NPS) TRUST,2000000,490
2026-06-11,LENSKART,NSE,block,BUY,ICICI PRUDENTIAL MUTUAL FUND,1224490,490
2026-06-11,LENSKART,NSE,block,BUY,INTEGRATED CORE STRATEGIES (ASIA) PTE LTD,1326531,490
2026-06-11,LENSKART,NSE,block,BUY,KOTAK FUNDS-INDIA MIDCAP FUND,714286,490
2026-06-11,LENSKART,NSE,block,BUY,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,1020409,490
2026-06-11,LENSKART,NSE,block,BUY,KOTAK MAHINDRA MUTUAL FUND,12061211,490
2026-06-11,LENSKART,NSE,block,BUY,MIRAE ASSET MUTUAL FUND,2204083,490
2026-06-11,LENSKART,NSE,block,BUY,MORGAN STANLEY ASIA SINGAPORE PTE,510205,490
2026-06-11,LENSKART,NSE,block,BUY,SBI MUTUAL FUND,918368,490
2026-06-11,LENSKART,NSE,block,BUY,SOCIETE GENERALE,1020410,490
2026-06-11,LENSKART,NSE,block,BUY,VIRIDIAN ASIA OPPORTUNITIES MASTER FUND,1326531,490
2026-06-11,LENSKART,NSE,block,BUY,HDFC LIFE INSURANCE COMPANY LIMITED,1020409,490
2026-06-11,LENSKART,NSE,block,BUY,GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED,1122450,490
2026-06-11,LENSKART,NSE,block,BUY,GHISALLO MASTER FUND LP,816327,490
2026-06-11,LENSKART,NSE,block,BUY,FRANKLIN TEMPLETON MUTUAL FUND,2244898,490
2026-06-11,LENSKART,NSE,block,BUY,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,612245,490
2026-06-11,LENSKART,NSE,block,BUY,CANARA ROBECO MUTUAL FUND,3224491,490
2026-06-11,LENSKART,NSE,block,BUY,ALPHA ALTERNATIVES EQUITY ABSOLUTE RETURN FUND,510205,490
2026-06-11,LENSKART,NSE,block,BUY,ADITYA BIRLA SUN LIFE MUTUAL FUND,1020409,490
2026-06-11,LENSKART,NSE,block,BUY,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,2040817,490
2026-06-11,LENSKART,NSE,block,BUY,NATIONAL PENSION SYSTEM (NPS) TRUST,3061225,490
2026-06-11,LENSKART,NSE,block,SELL,PLATINUM JASMINE A 2018 TRUST,40000000,490
2026-06-16,AARTECH,NSE,bulk,BUY,KRISHNA AWTAR JAGANNATH KABRA HUF,325352,48.45
2026-06-16,AARTECH,NSE,bulk,SELL,KRISHNA AWTAR JAGANNATH KABRA HUF,325352,48.71
2026-06-16,ADISHAKTI,BSE,bulk,BUY,ARORA FIBRES LIMITED,250000.0,13.9
2026-06-16,ADISHAKTI,BSE,bulk,SELL,RUKMANI DEVI MITTAL,250000.0,13.94
2026-06-16,ADISHAKTI,BSE,bulk,SELL,KIRAN  MITTAL,150000.0,13.9
2026-06-16,ADISHAKTI,BSE,bulk,SELL,PINE VIEW PORTFOLIO CONSULTANTS PRIVATE LIMITED,100000.0,11.32
2026-06-16,AGARIND,NSE,bulk,BUY,HRTI PRIVATE LIMITED,87863,586.56
2026-06-16,AGARIND,NSE,bulk,BUY,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,86366,599.34
2026-06-16,AGARIND,NSE,bulk,BUY,JUNOMONETA FINSOL PRIVATE LIMITED,99695,586.41
2026-06-16,AGARIND,NSE,bulk,SELL,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,97566,594.51
2026-06-16,AGARIND,NSE,bulk,SELL,HRTI PRIVATE LIMITED,95765,587.44
2026-06-16,AGARIND,NSE,bulk,SELL,JUNOMONETA FINSOL PRIVATE LIMITED,98858,587.36
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,BIF IV JARVIS INDIA PTE.LTD.,25250000.0,165.02
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,ANAHERA INVESTMENT PTE. LTD.,55375000.0,165.01
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,BIF IV JARVIS INDIA PTE LTD,62825000.0,165.01
2026-06-16,ALTIUSINVIT,BSE,bulk,BUY,LARSEN & TOUBRO LIMITED,38050000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,ROSSLAND IMC LIMITED PARTNERSHIP,28650000.0,165.05
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,BIF IV JARVIS INDIA PTE. LTD.,20075000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,bulk,SELL,BIF IV JARVIS INDIA PTE. LTD.,29375000.0,165.04
2026-06-16,ALTIUSINVIT,BSE,block,BUY,INFRASTRUCTURE AND REAL ASSETS FUND,4525000.0,165.0
2026-06-16,ALTIUSINVIT,BSE,block,BUY,DALAL AND BROACHA STOCK BROKING PVT LTD,1550000.0,165.08
